Identifier,Title,Start date,End date,Number of deaths
IBD031681,"Food Poisoning, Imo",18/04/2025,18/04/2025,1
IBD032064,"Gunmen Kill Man, Benue",31/03/2025,31/03/2025,1
IBD032058,"Auto Crash, Lagos",31/03/2025,31/03/2025,1
IBD032066,"Stray Bullets, Sokoto",31/03/2025,31/03/2025,1
IBD032062,"Lightening Kills Herder, Kaduna",30/03/2025,30/03/2025,1
IBD032049,"Auto Crash, Katsina",30/03/2025,30/03/2025,9
IBD032065,"Sallah Day Celebration Clash, Plateau",30/03/2025,30/03/2025,4
IBD032054,"Auto Crash, Abia",30/03/2025,30/03/2025,1
IBD032048,"Gas Explosion, Delta",30/03/2025,30/03/2025,2
IBD032061,"Auto Crash, Ogun",30/03/2025,30/03/2025,1
IBD032052,"Stampede, Gombe",30/03/2025,30/03/2025,2
IBD032063,"Fishing Activities, Kogi",30/03/2025,30/03/2025,2
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",29/03/2025,29/03/2025,1
IBD032060,"Labourer Kills Employer, Ondo",29/03/2025,29/03/2025,1
IBD032050,"Auto Crash, Lagos",29/03/2025,29/03/2025,1
IBD032059,"Extrajudicial Killing, Delta",29/03/2025,29/03/2025,1
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",28/03/2025,28/03/2025,6
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",28/03/2025,28/03/2025,1
IBD032042,"Gas Explosion, Abia",27/03/2025,27/03/2025,2
IBD032051,"Gunmen Attack, Plateau",27/03/2025,27/03/2025,52
IBD032028,"Auto Crash, Kano",26/03/2025,26/03/2025,2
IBD032027,"Lakurawa vs Customs Officers, Kebbi",26/03/2025,26/03/2025,2
IBD032045,"Domestic Violence, Sokoto",26/03/2025,26/03/2025,1
IBD032037,"Domestic Violence, Edo",26/03/2025,26/03/2025,1
IBD032033,"Taskforce Raid, FCT (Abuja)",26/03/2025,26/03/2025,2
IBD032032,"Chieftaincy Tussle, Ondo",26/03/2025,26/03/2025,1
IBD032039,"Domestic Violence, Lagos",26/03/2025,26/03/2025,1
IBD032044,"Domestic Violence, Ekiti",25/03/2025,25/03/2025,2
IBD032030,"Rainstorm, Cross River",25/03/2025,25/03/2025,3
IBD032025,"Auto Crash, Abia",25/03/2025,25/03/2025,2
IBD032034,"Gunmen vs Land Agent, Delta",25/03/2025,25/03/2025,1
IBD032041,"Pipeline Vandal, Rivers",25/03/2025,25/03/2025,1
IBD032020,"Troops vs Armed Robber, Plateau",24/03/2025,24/03/2025,1
IBD032019,"Troops Kill Bandit, Plateau",24/03/2025,24/03/2025,1
IBD032014,"Kidnapper, Anambra",24/03/2025,24/03/2025,1
IBD032026,"Ritual Killing, Rivers",24/03/2025,24/03/2025,2
IBD032017,"Army vs Boko Haram, Borno",24/03/2025,24/03/2025,8
IBD032009,"Jailbreak, Kogi",24/03/2025,24/03/2025,1
IBD032055,"Auto Crash, Lagos",24/03/2025,24/03/2025,1
IBD032012,"Gunmen vs Police, Enugu",24/03/2025,24/03/2025,1
IBD032016,"Army vs Boko Haram, Borno",24/03/2025,24/03/2025,3
IBD031984,"Extrajudicial Killing, Cross River",23/03/2025,23/03/2025,2
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",23/03/2025,23/03/2025,1
IBD032018,"Hunter Killed, Ogun",23/03/2025,23/03/2025,1
IBD032007,"Gunmen Attack, Plateau",23/03/2025,23/03/2025,3
IBD032008,"Auto Crash, Osun",23/03/2025,23/03/2025,8
IBD032010,"Bandits Kill 2, Kogi",23/03/2025,23/03/2025,2
IBD031983,"Bandits Attack, Sokoto",22/03/2025,22/03/2025,1
IBD031989,"Bandits vs Security Operatives, Zamfara",22/03/2025,22/03/2025,10
IBD031985,"Kidnappers Kill 1, Benue",22/03/2025,22/03/2025,1
IBD032035,"Kidnap Victims, Kaduna",22/03/2025,22/03/2025,3
IBD031987,"Herdsmen Attack, Edo",22/03/2025,22/03/2025,1
IBD031995,"Herders Kill Farmer, FCT (Abuja)",22/03/2025,22/03/2025,1
IBD031990,"Assailants vs Security Man, Bauchi",22/03/2025,22/03/2025,1
IBD032011,"POS Operator, Adamawa",22/03/2025,22/03/2025,1
IBD032021,"Generator Fume Kill 2, Rivers",22/03/2025,22/03/2025,2
IBD031992,"Communal Clash, Osun",21/03/2025,21/03/2025,2
IBD031996,"Hoodlums vs Worshippers, Kaduna",21/03/2025,21/03/2025,1
IBD032040,"Man Dies in Hotel, Delta",21/03/2025,21/03/2025,1
IBD032038,"Domestic Violence, Edo",21/03/2025,21/03/2025,1
IBD032031,Police vs Kidnappers. Delta,21/03/2025,21/03/2025,5
IBD031986,"Gunmen Attack, Anambra",20/03/2025,20/03/2025,3
IBD032004,"Security Force vs Lakurawa, Kebbi",20/03/2025,20/03/2025,2
IBD032047,"Northern Hunters, Edo",20/03/2025,20/03/2025,16
IBD031981,"Miyetti Allah Chairman, Plateau",20/03/2025,20/03/2025,1
IBD032013,"Kidnap Victim, Bauchi",20/03/2025,20/03/2025,1
IBD031980,"Herdsmen Attack, Benue",19/03/2025,19/03/2025,5
IBD031982,"Rape Victim, Delta",19/03/2025,19/03/2025,1
IBD032002,"Inferno, Yobe",19/03/2025,19/03/2025,1
IBD031994,"Banditary, Katsina",19/03/2025,19/03/2025,10
IBD031971,"Domestic Violence, Lagos",19/03/2025,19/03/2025,1
IBD031979,"Assailants vs Security Guard, Ebonyi",19/03/2025,19/03/2025,1
