,Identifier,Start date,End date,Number of deaths,Incident,State
0,IBD031681,2025-04-18,2025-04-18,1,Food Poisoning,Imo
1,IBD032064,2025-03-31,2025-03-31,1,Gunmen Kill Man,Benue
2,IBD032058,2025-03-31,2025-03-31,1,Auto Crash,Lagos
3,IBD032066,2025-03-31,2025-03-31,1,Stray Bullets,Sokoto
4,IBD032062,2025-03-30,2025-03-30,1,Lightening Kills Herder,Kaduna
5,IBD032049,2025-03-30,2025-03-30,9,Auto Crash,Katsina
6,IBD032065,2025-03-30,2025-03-30,4,Sallah Day Celebration Clash,Plateau
7,IBD032054,2025-03-30,2025-03-30,1,Auto Crash,Abia
8,IBD032048,2025-03-30,2025-03-30,2,Gas Explosion,Delta
9,IBD032061,2025-03-30,2025-03-30,1,Auto Crash,Ogun
10,IBD032052,2025-03-30,2025-03-30,2,Stampede,Gombe
11,IBD032063,2025-03-30,2025-03-30,2,Fishing Activities,Kogi
12,IBD032057,2025-03-29,2025-03-29,1,Herdsmen Kill Graduate,(FCT) Abuja
13,IBD032060,2025-03-29,2025-03-29,1,Labourer Kills Employer,Ondo
14,IBD032050,2025-03-29,2025-03-29,1,Auto Crash,Lagos
15,IBD032059,2025-03-29,2025-03-29,1,Extrajudicial Killing,Delta
16,IBD032046,2025-03-28,2025-03-28,6,Security Forces vs Shiites Members,(FCT) Abuja
17,IBD032056,2025-03-28,2025-03-28,1,Pirates vs Fashion Designer,Rivers
18,IBD032042,2025-03-27,2025-03-27,2,Gas Explosion,Abia
19,IBD032051,2025-03-27,2025-03-27,52,Gunmen Attack,Plateau
20,IBD032028,2025-03-26,2025-03-26,2,Auto Crash,Kano
21,IBD032027,2025-03-26,2025-03-26,2,Lakurawa vs Customs Officers,Kebbi
22,IBD032045,2025-03-26,2025-03-26,1,Domestic Violence,Sokoto
23,IBD032037,2025-03-26,2025-03-26,1,Domestic Violence,Edo
24,IBD032033,2025-03-26,2025-03-26,2,Taskforce Raid,(FCT) Abuja
25,IBD032032,2025-03-26,2025-03-26,1,Chieftaincy Tussle,Ondo
26,IBD032039,2025-03-26,2025-03-26,1,Domestic Violence,Lagos
27,IBD032044,2025-03-25,2025-03-25,2,Domestic Violence,Ekiti
28,IBD032030,2025-03-25,2025-03-25,3,Rainstorm,Cross River
29,IBD032025,2025-03-25,2025-03-25,2,Auto Crash,Abia
30,IBD032034,2025-03-25,2025-03-25,1,Gunmen vs Land Agent,Delta
31,IBD032041,2025-03-25,2025-03-25,1,Pipeline Vandal,Rivers
32,IBD032020,2025-03-24,2025-03-24,1,Troops vs Armed Robber,Plateau
33,IBD032019,2025-03-24,2025-03-24,1,Troops Kill Bandit,Plateau
34,IBD032014,2025-03-24,2025-03-24,1,Kidnapper,Anambra
35,IBD032026,2025-03-24,2025-03-24,2,Ritual Killing,Rivers
36,IBD032017,2025-03-24,2025-03-24,8,Army vs Boko Haram,Borno
37,IBD032009,2025-03-24,2025-03-24,1,Jailbreak,Kogi
38,IBD032055,2025-03-24,2025-03-24,1,Auto Crash,Lagos
39,IBD032012,2025-03-24,2025-03-24,1,Gunmen vs Police,Enugu
40,IBD032016,2025-03-24,2025-03-24,3,Army vs Boko Haram,Borno
41,IBD031984,2025-03-23,2025-03-23,2,Extrajudicial Killing,Cross River
42,IBD032006,2025-03-23,2025-03-23,1,Assailants vs Motorcycle Rider,Bauchi
43,IBD032018,2025-03-23,2025-03-23,1,Hunter Killed,Ogun
44,IBD032007,2025-03-23,2025-03-23,3,Gunmen Attack,Plateau
45,IBD032008,2025-03-23,2025-03-23,8,Auto Crash,Osun
46,IBD032010,2025-03-23,2025-03-23,2,Bandits Kill 2,Kogi
47,IBD031983,2025-03-22,2025-03-22,1,Bandits Attack,Sokoto
48,IBD031989,2025-03-22,2025-03-22,10,Bandits vs Security Operatives,Zamfara
49,IBD031985,2025-03-22,2025-03-22,1,Kidnappers Kill 1,Benue
50,IBD032035,2025-03-22,2025-03-22,3,Kidnap Victims,Kaduna
51,IBD031987,2025-03-22,2025-03-22,1,Herdsmen Attack,Edo
